Algorithm,Allocation,Processes,MessageSize,Latency, MinLatency, MaxLatency
Default,core,24,8192,10.93,6.69,15.35
Default,core,24,16384,24.53,11.34,36.51
Default,core,24,32768,44.14,18.61,66.42
Default,core,24,65536,84.70,32.87,129.45
Default,core,24,131072,162.89,60.19,246.27
Default,core,24,262144,313.78,109.95,477.13
Default,core,24,524288,599.85,221.55,894.75
Default,core,24,1048576,843.85,777.07,888.71
Default,core,26,1,1.49,0.42,2.81
Default,core,26,2,1.52,0.45,2.84
Default,core,26,4,1.49,0.42,2.81
Default,core,26,8,1.49,0.42,2.81
Default,core,26,16,1.51,0.42,2.84
Default,core,26,32,1.82,0.52,3.11
Default,core,26,64,1.84,0.48,3.14
Default,core,26,128,2.69,0.99,4.71
Default,core,26,256,2.78,1.06,4.73
Default,core,26,512,2.97,1.17,4.98
Default,core,26,1024,3.83,1.87,6.20
Default,core,26,2048,5.18,3.08,8.18
Default,core,26,4096,7.28,3.10,10.38
Default,core,26,8192,10.99,5.05,15.84
Default,core,26,16384,25.12,9.86,38.68
Default,core,26,32768,43.81,17.38,66.23
Default,core,26,65536,82.25,31.67,125.76
Default,core,26,131072,159.98,59.09,248.17
Default,core,26,262144,300.88,107.43,461.25
Default,core,26,524288,575.36,216.88,870.42
Default,core,26,1048576,786.94,622.39,871.15
Default,core,28,1,1.50,0.45,3.00
Default,core,28,2,1.47,0.44,2.98
Default,core,28,4,1.49,0.44,2.98
Default,core,28,8,1.47,0.44,2.97
Default,core,28,16,1.49,0.45,2.97
Default,core,28,32,1.83,0.53,3.37
Default,core,28,64,1.87,0.52,3.35
Default,core,28,128,2.66,1.08,4.90
Default,core,28,256,2.78,1.12,4.96
Default,core,28,512,3.01,1.23,5.27
Default,core,28,1024,3.86,1.91,6.43
Default,core,28,2048,5.22,3.05,8.27
Default,core,28,4096,7.24,3.24,10.08
Default,core,28,8192,11.02,5.13,15.72
Default,core,28,16384,25.20,9.74,37.51
Default,core,28,32768,44.04,17.56,65.11
Default,core,28,65536,81.95,31.60,124.01
Default,core,28,131072,159.41,58.20,240.16
Default,core,28,262144,311.97,112.05,472.01
Default,core,28,524288,613.81,222.75,926.05
Default,core,28,1048576,777.04,645.48,877.35
Default,core,30,1,1.42,0.41,3.54
Default,core,30,2,1.44,0.43,3.55
Default,core,30,4,1.42,0.42,3.53
Default,core,30,8,1.43,0.41,3.54
Default,core,30,16,1.42,0.41,3.51
Default,core,30,32,1.77,0.61,3.81
Default,core,30,64,1.85,0.56,3.70
Default,core,30,128,2.52,1.15,4.99
Default,core,30,256,2.75,1.24,4.95
Default,core,30,512,3.02,1.44,5.28
Default,core,30,1024,3.83,2.10,6.48
Default,core,30,2048,5.14,3.10,8.37
Default,core,30,4096,7.25,3.23,10.90
Default,core,30,8192,11.34,5.46,16.66
Default,core,30,16384,25.95,9.76,39.61
Default,core,30,32768,44.83,17.46,67.07
Default,core,30,65536,84.73,31.66,126.22
Default,core,30,131072,165.86,59.13,243.60
Default,core,30,262144,317.76,109.43,469.33
Default,core,30,524288,611.19,215.89,912.85
Default,core,30,1048576,796.72,744.22,905.78
Default,core,32,1,2.11,0.89,3.72
Default,core,32,2,2.11,0.87,3.73
Default,core,32,4,2.09,0.88,3.69
Default,core,32,8,2.07,0.86,3.69
Default,core,32,16,2.09,0.88,3.69
Default,core,32,32,2.43,0.97,4.24
Default,core,32,64,2.55,1.01,4.57
Default,core,32,128,3.29,1.75,5.33
Default,core,32,256,3.52,1.84,5.73
Default,core,32,512,3.79,1.93,6.31
Default,core,32,1024,4.48,2.27,7.40
Default,core,32,2048,6.16,3.81,8.74
Default,core,32,4096,8.38,5.21,12.10
Default,core,32,8192,12.42,7.84,17.65
Default,core,32,16384,18.66,10.99,24.51
Default,core,32,32768,31.56,20.94,38.70
Default,core,32,65536,63.19,40.97,76.47
Default,core,32,131072,128.30,80.65,163.33
Default,core,32,262144,255.54,158.64,322.93
Default,core,32,524288,509.90,312.94,644.46
Default,core,32,1048576,986.52,611.85,1273.13
Default,core,34,1,3.97,0.90,4.89
Default,core,34,2,3.94,0.89,4.86
Default,core,34,4,3.94,0.91,4.84
Default,core,34,8,3.91,0.88,4.84
Default,core,34,16,3.95,0.91,4.93
Default,core,34,32,4.36,1.00,5.94
Default,core,34,64,4.31,0.99,5.52
Default,core,34,128,5.15,1.97,6.62
Default,core,34,256,5.52,2.02,7.25
Default,core,34,512,5.76,2.13,7.73
Default,core,34,1024,6.40,2.60,8.73
Default,core,34,2048,8.16,4.91,10.92
Default,core,34,4096,10.60,6.61,14.67
Default,core,34,8192,14.65,8.99,20.06
Default,core,34,16384,20.52,12.11,25.14
Default,core,34,32768,30.51,15.94,40.01
Default,core,34,65536,53.24,24.04,70.14
Default,core,34,131072,123.93,30.42,160.68
Default,core,34,262144,248.69,52.27,329.15
Default,core,34,524288,488.27,97.80,641.02
Default,core,34,1048576,917.76,197.76,1238.49
Default,core,36,1,3.59,0.85,4.56
Default,core,36,2,3.56,0.84,4.51
Default,core,36,4,3.57,0.85,4.53
Default,core,36,8,3.56,0.84,4.53
Default,core,36,16,3.57,0.84,4.52
Default,core,36,32,4.02,0.94,5.43
Default,core,36,64,3.96,0.93,5.14
Default,core,36,128,4.90,1.92,6.28
Default,core,36,256,5.13,1.98,6.71
Default,core,36,512,5.46,2.09,7.46
Default,core,36,1024,6.18,2.56,8.42
Default,core,36,2048,7.96,4.96,10.86
Default,core,36,4096,10.41,6.96,14.53
Default,core,36,8192,14.46,10.33,19.92
Default,core,36,16384,19.87,12.60,24.94
Default,core,36,32768,30.54,20.76,40.35
Default,core,36,65536,52.60,34.88,69.67
Default,core,36,131072,119.79,51.76,158.70
Default,core,36,262144,238.08,94.73,319.92
Default,core,36,524288,477.29,184.77,648.96
Default,core,36,1048576,905.11,317.30,1254.18
Default,core,38,1,3.41,0.95,4.50
Default,core,38,2,3.37,0.92,4.43
Default,core,38,4,3.41,0.94,4.48
Default,core,38,8,3.36,0.91,4.42
Default,core,38,16,3.38,0.93,4.45
Default,core,38,32,3.77,1.02,5.15
Default,core,38,64,3.70,0.98,4.98
Default,core,38,128,4.55,1.94,5.87
Default,core,38,256,4.99,2.04,6.58
Default,core,38,512,5.10,2.14,6.79
Default,core,38,1024,5.84,2.61,7.78
Default,core,38,2048,7.67,3.76,10.03
Default,core,38,4096,10.19,5.33,13.61
Default,core,38,8192,14.45,7.94,19.84
Default,core,38,16384,20.07,12.44,24.56
Default,core,38,32768,31.70,21.66,39.96
Default,core,38,65536,55.22,39.92,70.15
Default,core,38,131072,127.75,75.00,168.74
Default,core,38,262144,250.44,146.88,333.38
Default,core,38,524288,491.71,297.64,652.97
Default,core,38,1048576,929.66,527.41,1273.63
Default,core,40,1,3.30,0.88,4.53
Default,core,40,2,3.25,0.88,4.47
Default,core,40,4,3.27,0.88,4.48
Default,core,40,8,3.26,0.87,4.50
Default,core,40,16,3.28,0.89,4.50
Default,core,40,32,3.58,0.96,4.95
Default,core,40,64,3.56,0.81,4.94
Default,core,40,128,4.48,1.84,5.93
Default,core,40,256,4.90,1.94,6.72
Default,core,40,512,5.05,2.10,6.94
Default,core,40,1024,5.79,2.57,7.93
Default,core,40,2048,7.38,3.69,9.76
Default,core,40,4096,9.90,5.28,12.84
Default,core,40,8192,14.09,7.82,18.53
Default,core,40,16384,20.69,11.94,27.37
Default,core,40,32768,32.08,20.99,44.37
Default,core,40,65536,56.15,38.78,77.11
Default,core,40,131072,125.65,77.78,161.17
Default,core,40,262144,245.66,128.70,324.58
Default,core,40,524288,470.82,256.93,629.88
Default,core,40,1048576,804.28,483.02,1046.93
Default,core,42,1,3.07,0.79,4.40
Default,core,42,2,3.06,0.78,4.37
Default,core,42,4,3.08,0.79,4.40
Default,core,42,8,3.05,0.77,4.37
Default,core,42,16,3.09,0.84,4.32
Default,core,42,32,3.43,0.96,4.99
Default,core,42,64,3.46,0.84,5.02
Default,core,42,128,4.26,1.47,5.88
Default,core,42,256,4.80,1.95,6.60
Default,core,42,512,4.80,1.93,6.74
Default,core,42,1024,5.51,2.17,7.77
Default,core,42,2048,7.14,3.26,9.44
Default,core,42,4096,9.76,4.85,12.64
Default,core,42,8192,14.07,7.45,18.21
Default,core,42,16384,20.74,11.65,27.26
Default,core,42,32768,32.83,21.58,41.50
Default,core,42,65536,58.00,39.47,73.44
Default,core,42,131072,126.40,81.77,162.63
Default,core,42,262144,247.94,159.29,312.09
Default,core,42,524288,488.31,312.15,623.93
Default,core,42,1048576,937.51,609.69,1214.64
Default,core,44,1,3.02,0.66,4.54
Default,core,44,2,2.99,0.64,4.50
Default,core,44,4,3.00,0.64,4.50
Default,core,44,8,2.97,0.64,4.49
Default,core,44,16,3.04,0.71,4.50
Default,core,44,32,3.35,0.97,5.07
Default,core,44,64,3.41,0.85,5.05
Default,core,44,128,4.30,1.62,6.02
Default,core,44,256,4.71,1.91,6.85
Default,core,44,512,4.79,2.01,6.85
Default,core,44,1024,5.57,2.30,7.98
Default,core,44,2048,7.27,3.32,10.03
Default,core,44,4096,9.91,4.88,14.12
Default,core,44,8192,14.17,7.47,19.74
Default,core,44,16384,21.10,12.00,30.14
Default,core,44,32768,33.28,21.21,48.51
Default,core,44,65536,59.20,39.35,84.15
Default,core,44,131072,129.34,82.02,165.15
Default,core,44,262144,252.62,159.47,323.76
Default,core,44,524288,498.59,312.99,645.75
Default,core,44,1048576,953.10,601.90,1268.90
Default,core,46,1,2.85,0.85,4.52
Default,core,46,2,2.87,0.84,4.75
Default,core,46,4,2.85,0.84,4.52
Default,core,46,8,2.86,0.85,4.71
Default,core,46,16,2.87,0.84,4.54
Default,core,46,32,3.41,0.95,5.42
Default,core,46,64,7.95,0.94,10.91
Default,core,46,128,18.78,1.77,23.16
Default,core,46,256,8.51,1.92,54.08
Default,core,46,512,29.98,6.59,53.46
Default,core,46,1024,8.51,2.51,20.17
Default,core,46,2048,7.38,3.57,9.98
Default,core,46,4096,10.18,5.16,14.10
Default,core,46,8192,14.65,7.86,20.09
Default,core,46,16384,21.34,12.58,28.11
Default,core,46,32768,33.87,21.40,42.44
Default,core,46,65536,60.99,40.46,81.53
Default,core,46,131072,130.69,83.31,166.45
Default,core,46,262144,257.68,161.95,330.57
