Algorithm,Allocation,Processes,MessageSize,Latency,MinLatency,MaxLatency
BinaryTree,core,40,256,4.96,0.54,6.68
BinaryTree,core,40,512,5.22,0.56,7.04
BinaryTree,core,40,1024,6.23,0.65,8.67
BinaryTree,core,40,2048,7.70,0.79,11.32
BinaryTree,core,40,4096,10.89,1.31,16.96
BinaryTree,core,40,8192,16.41,1.92,26.45
BinaryTree,core,40,16384,32.31,5.73,46.72
BinaryTree,core,40,32768,53.85,9.26,80.96
BinaryTree,core,40,65536,98.06,16.03,150.50
BinaryTree,core,40,131072,223.48,29.54,292.56
BinaryTree,core,40,262144,431.86,54.95,560.81
BinaryTree,core,40,524288,850.51,106.04,1095.25
BinaryTree,core,40,1048576,1669.64,216.34,2136.25
BinaryTree,core,42,1,3.24,0.35,4.48
BinaryTree,core,42,2,3.24,0.35,4.44
BinaryTree,core,42,4,3.24,0.35,4.47
BinaryTree,core,42,8,3.24,0.35,4.44
BinaryTree,core,42,16,3.23,0.35,4.47
BinaryTree,core,42,32,3.67,0.35,4.88
BinaryTree,core,42,64,3.78,0.33,5.09
BinaryTree,core,42,128,4.64,0.55,6.23
BinaryTree,core,42,256,5.07,0.58,6.84
BinaryTree,core,42,512,5.16,0.57,7.10
BinaryTree,core,42,1024,6.17,0.66,8.66
BinaryTree,core,42,2048,7.71,0.80,11.11
BinaryTree,core,42,4096,11.16,1.40,17.02
BinaryTree,core,42,8192,16.68,1.95,26.37
BinaryTree,core,42,16384,32.77,5.66,46.31
BinaryTree,core,42,32768,54.63,9.25,81.37
BinaryTree,core,42,65536,101.67,16.28,161.21
BinaryTree,core,42,131072,228.56,29.83,302.82
BinaryTree,core,42,262144,440.16,55.23,586.21
BinaryTree,core,42,524288,863.07,104.00,1151.70
BinaryTree,core,42,1048576,1683.77,210.92,2231.17
BinaryTree,core,44,1,3.23,0.29,4.48
BinaryTree,core,44,2,3.20,0.28,4.44
BinaryTree,core,44,4,3.20,0.29,4.44
BinaryTree,core,44,8,3.19,0.29,4.44
BinaryTree,core,44,16,3.20,0.29,4.45
BinaryTree,core,44,32,3.65,0.32,4.94
BinaryTree,core,44,64,3.76,0.32,5.17
BinaryTree,core,44,128,4.87,0.53,6.76
