Algorithm,Allocation,Processes,MessageSize,Latency
Pipeline,socket,26,32768,183.50
Pipeline,socket,26,65536,314.86
Pipeline,socket,26,131072,589.59
Pipeline,socket,26,262144,1123.82
Pipeline,socket,26,524288,2129.22
Pipeline,socket,26,1048576,4301.64
Pipeline,socket,27,1,6.97
Pipeline,socket,27,2,8.08
Pipeline,socket,27,4,6.94
Pipeline,socket,27,8,6.91
Pipeline,socket,27,16,6.94
Pipeline,socket,27,32,11.12
Pipeline,socket,27,64,9.79
Pipeline,socket,27,128,16.63
Pipeline,socket,27,256,17.03
Pipeline,socket,27,512,18.74
Pipeline,socket,27,1024,23.22
Pipeline,socket,27,2048,29.52
Pipeline,socket,27,4096,41.01
Pipeline,socket,27,8192,63.12
Pipeline,socket,27,16384,117.23
Pipeline,socket,27,32768,186.77
Pipeline,socket,27,65536,330.27
Pipeline,socket,27,131072,609.33
Pipeline,socket,27,262144,1141.40
Pipeline,socket,27,524288,2234.41
Pipeline,socket,27,1048576,4410.13
Pipeline,socket,28,1,7.22
Pipeline,socket,28,2,8.51
Pipeline,socket,28,4,7.19
Pipeline,socket,28,8,7.14
Pipeline,socket,28,16,7.15
Pipeline,socket,28,32,11.27
Pipeline,socket,28,64,10.07
Pipeline,socket,28,128,17.07
Pipeline,socket,28,256,17.73
Pipeline,socket,28,512,19.49
Pipeline,socket,28,1024,23.83
Pipeline,socket,28,2048,30.90
Pipeline,socket,28,4096,42.89
Pipeline,socket,28,8192,65.88
Pipeline,socket,28,16384,121.06
Pipeline,socket,28,32768,192.76
Pipeline,socket,28,65536,333.54
Pipeline,socket,28,131072,635.49
Pipeline,socket,28,262144,1193.38
Pipeline,socket,28,524288,2311.61
Pipeline,socket,28,1048576,4574.84
Pipeline,socket,29,1,7.34
Pipeline,socket,29,2,8.78
Pipeline,socket,29,4,7.34
Pipeline,socket,29,8,7.31
Pipeline,socket,29,16,7.30
Pipeline,socket,29,32,11.61
Pipeline,socket,29,64,10.26
Pipeline,socket,29,128,17.51
Pipeline,socket,29,256,18.34
Pipeline,socket,29,512,20.15
Pipeline,socket,29,1024,24.62
Pipeline,socket,29,2048,31.45
Pipeline,socket,29,4096,43.63
Pipeline,socket,29,8192,68.23
Pipeline,socket,29,16384,127.31
Pipeline,socket,29,32768,200.84
Pipeline,socket,29,65536,342.69
Pipeline,socket,29,131072,631.45
Pipeline,socket,29,262144,1215.24
Pipeline,socket,29,524288,2396.05
Pipeline,socket,29,1048576,4718.53
Pipeline,socket,30,1,7.45
Pipeline,socket,30,2,8.83
Pipeline,socket,30,4,7.47
Pipeline,socket,30,8,7.43
Pipeline,socket,30,16,7.44
Pipeline,socket,30,32,12.05
Pipeline,socket,30,64,10.56
Pipeline,socket,30,128,18.01
Pipeline,socket,30,256,18.56
Pipeline,socket,30,512,20.99
Pipeline,socket,30,1024,25.56
Pipeline,socket,30,2048,33.49
Pipeline,socket,30,4096,45.28
Pipeline,socket,30,8192,68.93
Pipeline,socket,30,16384,129.25
Pipeline,socket,30,32768,206.41
Pipeline,socket,30,65536,358.06
Pipeline,socket,30,131072,669.79
Pipeline,socket,30,262144,1258.25
Pipeline,socket,30,524288,2433.29
Pipeline,socket,30,1048576,4764.20
Pipeline,socket,31,1,7.65
Pipeline,socket,31,2,8.95
Pipeline,socket,31,4,7.73
Pipeline,socket,31,8,7.69
Pipeline,socket,31,16,7.67
Pipeline,socket,31,32,12.36
Pipeline,socket,31,64,10.82
Pipeline,socket,31,128,18.74
Pipeline,socket,31,256,19.66
Pipeline,socket,31,512,21.66
Pipeline,socket,31,1024,26.34
Pipeline,socket,31,2048,33.99
Pipeline,socket,31,4096,46.36
Pipeline,socket,31,8192,71.95
Pipeline,socket,31,16384,133.30
Pipeline,socket,31,32768,212.60
Pipeline,socket,31,65536,364.31
Pipeline,socket,31,131072,685.81
Pipeline,socket,31,262144,1276.32
Pipeline,socket,31,524288,2567.13
Pipeline,socket,31,1048576,4946.40
Pipeline,socket,32,1,9.27
Pipeline,socket,32,2,11.32
Pipeline,socket,32,4,9.24
Pipeline,socket,32,8,9.23
Pipeline,socket,32,16,9.22
Pipeline,socket,32,32,13.53
Pipeline,socket,32,64,12.57
Pipeline,socket,32,128,21.06
Pipeline,socket,32,256,22.42
Pipeline,socket,32,512,23.94
Pipeline,socket,32,1024,28.45
Pipeline,socket,32,2048,37.00
Pipeline,socket,32,4096,49.84
Pipeline,socket,32,8192,77.12
Pipeline,socket,32,16384,141.35
Pipeline,socket,32,32768,222.49
Pipeline,socket,32,65536,377.32
Pipeline,socket,32,131072,693.31
Pipeline,socket,32,262144,1352.29
Pipeline,socket,32,524288,2633.91
Pipeline,socket,32,1048576,5062.08
Pipeline,socket,33,1,12.09
Pipeline,socket,33,2,11.03
Pipeline,socket,33,4,10.85
Pipeline,socket,33,8,10.79
Pipeline,socket,33,16,10.80
Pipeline,socket,33,32,15.59
Pipeline,socket,33,64,14.41
Pipeline,socket,33,128,23.81
Pipeline,socket,33,256,24.27
Pipeline,socket,33,512,26.15
Pipeline,socket,33,1024,30.64
Pipeline,socket,33,2048,39.34
Pipeline,socket,33,4096,52.04
Pipeline,socket,33,8192,79.62
Pipeline,socket,33,16384,147.14
Pipeline,socket,33,32768,228.44
Pipeline,socket,33,65536,391.89
Pipeline,socket,33,131072,733.89
Pipeline,socket,33,262144,1363.23
Pipeline,socket,33,524288,2651.49
Pipeline,socket,33,1048576,5282.35
Pipeline,socket,34,1,11.22
Pipeline,socket,34,2,12.56
Pipeline,socket,34,4,11.24
Pipeline,socket,34,8,11.16
Pipeline,socket,34,16,11.17
Pipeline,socket,34,32,15.86
Pipeline,socket,34,64,14.70
Pipeline,socket,34,128,23.93
Pipeline,socket,34,256,24.62
Pipeline,socket,34,512,26.58
Pipeline,socket,34,1024,31.63
Pipeline,socket,34,2048,39.60
Pipeline,socket,34,4096,54.45
Pipeline,socket,34,8192,83.27
Pipeline,socket,34,16384,151.58
Pipeline,socket,34,32768,236.62
Pipeline,socket,34,65536,417.01
Pipeline,socket,34,131072,758.19
Pipeline,socket,34,262144,1419.16
Pipeline,socket,34,524288,2802.28
Pipeline,socket,34,1048576,5339.50
Pipeline,socket,35,1,11.85
Pipeline,socket,35,2,11.76
Pipeline,socket,35,4,11.16
Pipeline,socket,35,8,11.13
Pipeline,socket,35,16,11.15
Pipeline,socket,35,32,15.52
Pipeline,socket,35,64,14.63
Pipeline,socket,35,128,24.44
Pipeline,socket,35,256,25.09
Pipeline,socket,35,512,26.96
Pipeline,socket,35,1024,32.09
Pipeline,socket,35,2048,40.10
Pipeline,socket,35,4096,54.05
Pipeline,socket,35,8192,84.16
Pipeline,socket,35,16384,153.60
Pipeline,socket,35,32768,243.29
Pipeline,socket,35,65536,418.43
Pipeline,socket,35,131072,756.87
Pipeline,socket,35,262144,1479.87
Pipeline,socket,35,524288,2792.84
Pipeline,socket,35,1048576,5526.26
Pipeline,socket,36,1,11.89
Pipeline,socket,36,2,12.15
Pipeline,socket,36,4,11.42
Pipeline,socket,36,8,11.42
Pipeline,socket,36,16,11.38
Pipeline,socket,36,32,16.27
Pipeline,socket,36,64,15.12
Pipeline,socket,36,128,25.37
Pipeline,socket,36,256,25.76
Pipeline,socket,36,512,27.84
Pipeline,socket,36,1024,33.04
Pipeline,socket,36,2048,42.26
Pipeline,socket,36,4096,56.25
Pipeline,socket,36,8192,87.10
Pipeline,socket,36,16384,157.95
Pipeline,socket,36,32768,251.34
Pipeline,socket,36,65536,423.41
Pipeline,socket,36,131072,798.49
Pipeline,socket,36,262144,1526.93
Pipeline,socket,36,524288,2878.16
Pipeline,socket,36,1048576,5662.82
Pipeline,socket,37,1,12.43
Pipeline,socket,37,2,12.24
Pipeline,socket,37,4,11.71
Pipeline,socket,37,8,11.66
Pipeline,socket,37,16,11.65
Pipeline,socket,37,32,16.28
Pipeline,socket,37,64,15.25
Pipeline,socket,37,128,25.53
Pipeline,socket,37,256,26.16
Pipeline,socket,37,512,28.30
Pipeline,socket,37,1024,34.03
Pipeline,socket,37,2048,43.12
Pipeline,socket,37,4096,57.97
Pipeline,socket,37,8192,89.48
Pipeline,socket,37,16384,162.23
Pipeline,socket,37,32768,255.72
Pipeline,socket,37,65536,441.04
Pipeline,socket,37,131072,816.04
Pipeline,socket,37,262144,1528.78
Pipeline,socket,37,524288,2989.62
Pipeline,socket,37,1048576,5813.44
Pipeline,socket,38,1,12.99
Pipeline,socket,38,2,12.17
Pipeline,socket,38,4,11.84
Pipeline,socket,38,8,11.78
Pipeline,socket,38,16,11.76
Pipeline,socket,38,32,16.75
Pipeline,socket,38,64,15.62
Pipeline,socket,38,128,26.85
Pipeline,socket,38,256,26.93
Pipeline,socket,38,512,29.07
Pipeline,socket,38,1024,34.58
Pipeline,socket,38,2048,44.26
Pipeline,socket,38,4096,58.89
Pipeline,socket,38,8192,91.46
Pipeline,socket,38,16384,166.66
Pipeline,socket,38,32768,263.80
Pipeline,socket,38,65536,447.61
Pipeline,socket,38,131072,822.68
Pipeline,socket,38,262144,1567.46
Pipeline,socket,38,524288,3082.17
Pipeline,socket,38,1048576,6051.12
Pipeline,socket,39,1,13.79
Pipeline,socket,39,2,12.22
Pipeline,socket,39,4,12.01
Pipeline,socket,39,8,11.97
Pipeline,socket,39,16,12.00
Pipeline,socket,39,32,16.77
Pipeline,socket,39,64,15.68
Pipeline,socket,39,128,26.77
Pipeline,socket,39,256,27.42
Pipeline,socket,39,512,29.55
