Algorithm,Allocation,Processes,MessageSize,Latency
Linear_Nb,core,25,262144,146.64
Linear_Nb,core,25,524288,228.21
Linear_Nb,core,25,1048576,292.25
Linear_Nb,core,26,1,1.78
Linear_Nb,core,26,2,1.80
Linear_Nb,core,26,4,1.82
Linear_Nb,core,26,8,1.95
Linear_Nb,core,26,16,2.64
Linear_Nb,core,26,32,2.98
Linear_Nb,core,26,64,2.94
Linear_Nb,core,26,128,3.48
Linear_Nb,core,26,256,4.16
Linear_Nb,core,26,512,5.89
Linear_Nb,core,26,1024,9.37
Linear_Nb,core,26,2048,14.65
Linear_Nb,core,26,4096,24.47
Linear_Nb,core,26,8192,44.21
Linear_Nb,core,26,16384,45.68
Linear_Nb,core,26,32768,42.43
Linear_Nb,core,26,65536,94.27
Linear_Nb,core,26,131072,158.01
Linear_Nb,core,26,262144,185.08
Linear_Nb,core,26,524288,236.60
Linear_Nb,core,26,1048576,307.07
Linear_Nb,core,27,1,1.69
Linear_Nb,core,27,2,1.70
Linear_Nb,core,27,4,1.74
Linear_Nb,core,27,8,1.85
Linear_Nb,core,27,16,2.82
Linear_Nb,core,27,32,2.62
Linear_Nb,core,27,64,2.80
Linear_Nb,core,27,128,3.45
Linear_Nb,core,27,256,4.18
Linear_Nb,core,27,512,5.90
Linear_Nb,core,27,1024,9.17
Linear_Nb,core,27,2048,14.61
Linear_Nb,core,27,4096,25.07
Linear_Nb,core,27,8192,44.95
Linear_Nb,core,27,16384,47.51
Linear_Nb,core,27,32768,42.07
Linear_Nb,core,27,65536,52.04
Linear_Nb,core,27,131072,123.91
Linear_Nb,core,27,262144,128.62
Linear_Nb,core,27,524288,203.07
Linear_Nb,core,27,1048576,313.41
Linear_Nb,core,28,1,1.62
Linear_Nb,core,28,2,1.61
Linear_Nb,core,28,4,1.71
Linear_Nb,core,28,8,1.91
Linear_Nb,core,28,16,2.88
Linear_Nb,core,28,32,2.55
Linear_Nb,core,28,64,2.79
Linear_Nb,core,28,128,3.44
Linear_Nb,core,28,256,4.26
Linear_Nb,core,28,512,6.02
Linear_Nb,core,28,1024,9.47
Linear_Nb,core,28,2048,15.44
Linear_Nb,core,28,4096,26.84
Linear_Nb,core,28,8192,48.92
Linear_Nb,core,28,16384,49.81
Linear_Nb,core,28,32768,42.52
Linear_Nb,core,28,65536,94.46
Linear_Nb,core,28,131072,114.93
Linear_Nb,core,28,262144,149.39
Linear_Nb,core,28,524288,235.69
Linear_Nb,core,28,1048576,334.03
Linear_Nb,core,29,1,1.59
Linear_Nb,core,29,2,1.59
Linear_Nb,core,29,4,1.64
Linear_Nb,core,29,8,2.66
Linear_Nb,core,29,16,2.26
Linear_Nb,core,29,32,2.39
Linear_Nb,core,29,64,2.86
Linear_Nb,core,29,128,3.46
Linear_Nb,core,29,256,4.35
Linear_Nb,core,29,512,6.22
Linear_Nb,core,29,1024,9.91
Linear_Nb,core,29,2048,16.91
Linear_Nb,core,29,4096,28.92
Linear_Nb,core,29,8192,52.48
Linear_Nb,core,29,16384,51.62
Linear_Nb,core,29,32768,41.86
Linear_Nb,core,29,65536,91.66
Linear_Nb,core,29,131072,95.07
Linear_Nb,core,29,262144,135.32
Linear_Nb,core,29,524288,208.72
Linear_Nb,core,29,1048576,341.82
Linear_Nb,core,30,1,1.60
Linear_Nb,core,30,2,1.56
Linear_Nb,core,30,4,1.65
Linear_Nb,core,30,8,2.81
Linear_Nb,core,30,16,2.13
Linear_Nb,core,30,32,2.45
Linear_Nb,core,30,64,2.93
Linear_Nb,core,30,128,3.67
Linear_Nb,core,30,256,4.62
Linear_Nb,core,30,512,6.59
Linear_Nb,core,30,1024,9.99
Linear_Nb,core,30,2048,16.98
Linear_Nb,core,30,4096,29.96
Linear_Nb,core,30,8192,55.52
Linear_Nb,core,30,16384,53.56
Linear_Nb,core,30,32768,38.63
