Core_1,Core_2,Message_Size,Latency
1,13,1,0.42
1,13,2,0.41
1,13,4,0.41
1,13,8,0.41
1,13,16,0.41
1,13,32,0.57
1,13,64,0.56
1,13,128,1.0
1,13,256,1.12
1,13,512,1.27
1,13,1024,1.47
1,13,2048,2.01
1,13,4096,2.83
1,13,8192,4.37
1,13,16384,7.14
1,13,32768,12.14
1,13,65536,22.17
1,13,131072,41.8
1,13,262144,18.32
1,13,524288,33.39
1,13,1048576,70.0
1,14,1,0.45
1,14,2,0.44
1,14,4,0.43
1,14,8,0.42
1,14,16,0.41
1,14,32,0.56
1,14,64,0.56
1,14,128,0.95
1,14,256,1.04
1,14,512,1.25
1,14,1024,1.46
1,14,2048,1.99
1,14,4096,2.79
1,14,8192,4.34
1,14,16384,7.1
1,14,32768,12.21
1,14,65536,22.2
1,14,131072,42.07
1,14,262144,18.27
1,14,524288,33.81
1,14,1048576,73.02
1,15,1,0.47
1,15,2,0.47
1,15,4,0.45
1,15,8,0.43
1,15,16,0.42
1,15,32,0.57
1,15,64,0.56
1,15,128,0.97
1,15,256,1.1
1,15,512,1.28
1,15,1024,1.48
1,15,2048,2.01
1,15,4096,2.83
1,15,8192,4.36
1,15,16384,7.14
1,15,32768,12.16
1,15,65536,22.06
1,15,131072,41.83
1,15,262144,18.14
1,15,524288,33.32
1,15,1048576,68.14
1,16,1,0.46
1,16,2,0.44
1,16,4,0.42
1,16,8,0.41
1,16,16,0.4
1,16,32,0.56
1,16,64,0.55
1,16,128,0.94
1,16,256,1.03
1,16,512,1.24
1,16,1024,1.46
1,16,2048,2.0
1,16,4096,2.81
1,16,8192,4.36
1,16,16384,7.11
1,16,32768,12.13
1,16,65536,22.0
1,16,131072,40.67
1,16,262144,18.05
1,16,524288,33.04
1,16,1048576,70.51
1,17,1,0.42
1,17,2,0.4
1,17,4,0.4
1,17,8,0.4
1,17,16,0.4
1,17,32,0.56
1,17,64,0.55
1,17,128,0.98
1,17,256,1.07
1,17,512,1.27
1,17,1024,1.46
1,17,2048,2.0
1,17,4096,2.81
1,17,8192,4.35
1,17,16384,7.09
1,17,32768,12.11
1,17,65536,22.13
1,17,131072,42.31
1,17,262144,17.92
1,17,524288,32.82
1,17,1048576,67.69
1,18,1,0.44
1,18,2,0.43
1,18,4,0.42
1,18,8,0.4
1,18,16,0.4
1,18,32,0.6
1,18,64,0.53
1,18,128,0.91
1,18,256,0.99
1,18,512,1.2
1,18,1024,1.38
1,18,2048,1.68
1,18,4096,2.48
1,18,8192,3.76
1,18,16384,5.81
1,18,32768,9.88
1,18,65536,17.8
1,18,131072,33.84
1,18,262144,18.52
1,18,524288,33.68
1,18,1048576,68.69
1,19,1,0.43
1,19,2,0.43
1,19,4,0.42
1,19,8,0.41
1,19,16,0.41
1,19,32,0.57
1,19,64,0.56
1,19,128,1.0
1,19,256,1.06
1,19,512,1.26
1,19,1024,1.48
1,19,2048,2.01
1,19,4096,2.85
1,19,8192,4.37
1,19,16384,7.12
1,19,32768,12.17
1,19,65536,22.27
1,19,131072,42.35
1,19,262144,18.11
1,19,524288,33.38
1,19,1048576,68.14
1,20,1,0.43
1,20,2,0.41
1,20,4,0.41
1,20,8,0.4
